data_source,scraped_time,name,organization_type,company_name,position
https://www.parliament.gh/mps?mp=220,2017-10-17 16:56:47.754886,ALEX  ADOMAKO-MENSAH,,COCOA RESEARCH INSTITUTE GH.FINANCIAL ADVISOR,SNR COMMERCIAL OFFICER
https://www.parliament.gh/mps?mp=222,2017-10-17 16:56:48.038017,KWAME TWUMASI AMPOFO,,PARLIAMENT OF GHANAMANAGING DIRECTOR,MEMBER OF PARLIAMENT
https://www.parliament.gh/mps?mp=223,2017-10-17 16:56:48.872820,LINDA OBENEWAA AKWELEY OCLOO,,OID MUTUAL LIFE ASSURANCEBRANCH SECRETARY,CLIENT SERVICE CONSULTANT
https://www.parliament.gh/mps?mp=241,2017-10-17 16:56:51.381413,BENJAMIN YEBOAH SEKYERE,,GHANA EDUCATION SERVICE,PRINCIPAL ACCOUNTANT
https://www.parliament.gh/mps?mp=240,2017-10-17 16:56:51.713297,FREDA  PREMPEH,,PARLIAMENT OF GHANA,MEMBER OF PARLIAMENT
https://www.parliament.gh/mps?mp=217,2017-10-17 16:56:52.663829,KWAKU  AFRIYIE,,GREENSHIELD HOSPITALMANAGING DIRECTOR,MANAGING DIRECTOR
https://www.parliament.gh/mps?mp=237,2017-10-17 16:56:52.705760,INUSAH ABDULAI BISTAV FUSEINI,,GHANA EDUCATION SERVICELAWYER,TEACHER
https://www.parliament.gh/mps?mp=239,2017-10-17 16:56:53.074106,HARUNA  IDDRISU,,LAW TRUST COLECTURER,LAWYER
https://www.parliament.gh/mps?mp=238,2017-10-17 16:56:53.337693,ALHASSAN SAYIBU SUHUYINI,,NETWORK BROAD.NEWS REPORTER/ ANCHOR,NEWS EDITOR/TALK SHOW HOST
https://www.parliament.gh/mps?mp=243,2017-10-17 16:56:53.397316,SIMON ACHEAMPONG TAMPI,, NULUX PLANTATIONS LTDTEACHER,FIELD SUPERVISOR
https://www.parliament.gh/mps?mp=224,2017-10-17 16:56:57.097611,ATO  PANFORD,,A. PANFORD & SONS LIMITEDDIRECTOR / CEO,DIRECTOR/EXECUTIVE CHAIRMAN
https://www.parliament.gh/mps?mp=225,2017-10-17 16:56:57.295814,RIDWAN DUADA ABASS,,KOLON GLOBAL CORPORATIONBUSINESS MANAGER,ADMINISTRATOR
https://www.parliament.gh/mps?mp=226,2017-10-17 16:56:57.634254,PATRICK AL-HASSAN ADAMAH,,BRITISH COAL REGIONAL MANAGER,RESEARCH MINING ENGINEER
https://www.parliament.gh/mps?mp=244,2017-10-17 16:57:00.252984,MARTIN GYARKO OTI,,GHANA EDUCATION SERVICEDIRECTOR,CLASSROOM TEACHER
https://www.parliament.gh/mps?mp=248,2017-10-17 16:57:07.054645,KINGSLEY CARLOS AHENKORAH,,CARLOKING FREIGHTLECTURER,CHIEF EXECUTIVE OFFICER
https://www.parliament.gh/mps?mp=252,2017-10-17 16:57:08.834357,ABRAHAM DWUMA ODOOM,,MINISTRY OF AGRIC AND NATURAL RESOURCES - AKWA IBOM STATE - NIGERIAPOLICY ADVISOR,LEAD CONSULTANT
https://www.parliament.gh/mps?mp=253,2017-10-17 16:57:09.332715,NANA  AMOAKOH,,PARLIAMENT OF GHANA,MEMBER OF PARLIAMENT
https://www.parliament.gh/mps?mp=230,2017-10-17 16:57:10.171799,EUGENE BOAKYE ANTWI,,EUGASS LIMITEDADMINISTRATOR,DIRECTOR
https://www.parliament.gh/mps?mp=256,2017-10-17 16:57:11.254807,DEREK DARKO OHENE ASSIFO BEKOE,,UPPER WEST AKIM DISTRICT ASSEMBLYDISTRICT CHIEF EXECUTIVE,DISTRICT CHIEF EXECUTIVE
https://www.parliament.gh/mps?mp=250,2017-10-17 16:57:11.871160,WAHAB WUMBEI SUHUYINI,,GESAG. REGIONAL COORDINATOR,CLASSROOM TEACHER
https://www.parliament.gh/mps?mp=251,2017-10-17 16:57:13.292569,MOSES  ANIM,,WILHELM LTDQUALITY ASSURANCE MANAGER,PROJECT MANAGER
https://www.parliament.gh/mps?mp=254,2017-10-17 16:57:15.034143,SAMUEL  NSOWA-DJAN,,GHANA EDUCATION SERVICE,HEADMASTER
https://www.parliament.gh/mps?mp=231,2017-10-17 16:57:15.150416,FREDERICK  OPARE-ANSAH,,PARLIAMENT OF GHANADEPUTY MINISTER COMMUNICATIONS,MINORITY CHIEF WHIP
https://www.parliament.gh/mps?mp=229,2017-10-17 16:57:15.395071,STEPHEN MICHAEL ESSUAH KOFI ACKAH,,OFFICE OF PARLIAMENTASSISTANT DIRECTOR,MEMBER OF PARLIAMENT
https://www.parliament.gh/mps?mp=255,2017-10-17 16:57:15.734142,JOSEPH  TETTEH,,JOETEE ENTERPRISE LTD. ,MANAGING DIRECTOR
https://www.parliament.gh/mps?mp=246,2017-10-17 16:57:16.572796,KOFI  BRAKO,,TEAMWORK FREIGHT SERVICES,MANAGING DIRECTOR
https://www.parliament.gh/mps?mp=247,2017-10-17 16:57:17.313673,DANIEL NII KWARTEI TITUS-GLOVER,,KENCITY MEDIA LTD,HUMAN RESOURCE MANAGER
https://www.parliament.gh/mps?mp=232,2017-10-17 16:57:19.037289,KWASI  AMEYAW-CHEREMEH,,PARLIAMENT OF GHANAGENERAL SECRETARY,MEMBER OF PARLIAMENT
https://www.parliament.gh/mps?mp=249,2017-10-17 16:57:19.770650,JOSEPH DINDIOK KPEMKA,,BOLGA POLYTECHNICDISTRICT CHIEF EXECUTIVE,LECTURER/LAWYER
https://www.parliament.gh/mps?mp=235,2017-10-17 16:57:21.121556,KWABENA OKYERE DARKO-MENSAH,,PARLIAMENT OF GHANADIRECTOR OF OPERATION,MEMBER OF PARLIAMENT
https://www.parliament.gh/mps?mp=234,2017-10-17 16:57:21.586182,GABRIEL  OSEI,,ST. AMBROSE COLLEGE OF EDUCATIONPRODUCTION ASSISTANT,FINANCE OFFICER
https://www.parliament.gh/mps?mp=260,2017-10-17 16:57:22.613138,SAGRE  BAMBANGI,,UNIVERSITY FOR DEVELOPMENT STUDIESDISTRICT DEVELOPMENT PLANING OFFICER,LECTURER
https://www.parliament.gh/mps?mp=236,2017-10-17 16:57:22.654796,BENSON TONGO BABA,,GHANA EDUCATION SERVICESPORTS MASTER,CLASSROOM TEACHER
https://www.parliament.gh/mps?mp=259,2017-10-17 16:57:23.156154,JOSEPH YIELEH CHIREH,,PARLIAMENT OF GHANA MINISTER OF STATE,MEMBER OF PARLIAMENT 
https://www.parliament.gh/mps?mp=258,2017-10-17 16:57:23.313757,GODFREY TANGU BAYON,,GHANA EDUCATION SERVICEMEMBER OF PARLIAMENT,TEACHER 
https://www.parliament.gh/mps?mp=233,2017-10-17 16:57:25.612409,IGNATIUS BAFFOUR AWUAH,,PARLIAMENT OF GHANADEPUTY REGIONAL MINISTER ,MEMBER OF PARLIAMENT &amp 2ND DEP. MAJ. WHIP
https://www.parliament.gh/mps?mp=209,2017-10-17 16:57:26.292540,LAADI AYII AYAMBA,,GESHEADTEACHER,CLASS ROOM TEACHER
https://www.parliament.gh/mps?mp=257,2017-10-17 16:57:27.473614,ABDUL-RASHID HASSAN PELPUO,,INSTITUTE FOR POLICY ALTERNATIVESDEPUTY NATIONAL COORDINATOR ,DEVELOPMENT CONSULTANT
https://www.parliament.gh/mps?mp=261,2017-10-17 16:57:35.176837,ISAAC ADJEI MENSAH,,PARLIAMENT OF GHANA,MEMBER OF PARLIAMENT
